id,value,parent
Mario Kart 7,12.66,3DS
Super Mario 3D Land,10.81,3DS
New Super Mario Bros. 2,9.9,3DS
Animal Crossing: New Leaf,9.16,3DS
Luigi's Mansion: Dark Moon,4.59,3DS
Monster Hunter 4 Ultimate,3.89,3DS
Shenmue,1.18,DC
NFL 2K1,1.09,DC
Seaman,0.52,DC
SoulCalibur,0.34,DC
Capcom vs. SNK,0.22,DC
Phantasy Star Online,0.2,DC
New Super Mario Bros.,29.8,DS
Mario Kart DS,23.21,DS
Brain Age: Train Your Brain in Minutes a Day,20.15,DS
Brain Age 2: More Training in Minutes a Day,15.29,DS
Animal Crossing: Wild World,12.13,DS
Mario Party DS,8.91,DS
Pokémon Emerald Version,6.41,GBA
Super Mario Advance,5.49,GBA
Mario Kart: Super Circuit,5.47,GBA
Namco Museum,4.24,GBA
Pac-Man Collection,2.94,GBA
The Legend of Zelda: A Link to the Past,2.7,GBA
Super Smash Bros. Melee,7.07,GC
Super Mario Sunshine,6.31,GC
The Legend of Zelda: The Wind Waker,4.6,GC
Luigi's Mansion,3.6,GC
Animal Crossing,3.15,GC
Metroid Prime,2.82,GC
The Sims 3,8.01,PC
World of Warcraft,6.29,PC
Diablo III,5.14,PC
StarCraft II: Wings of Liberty,4.84,PC
Half-Life,4.12,PC
World of Warcraft: The Burning Crusade,4.09,PC
Gran Turismo,10.95,PS
Final Fantasy VII,9.72,PS
Gran Turismo 2,9.49,PS
Final Fantasy VIII,7.86,PS
Tekken 3,7.16,PS
Crash Bandicoot 3: Warped,7.13,PS
Grand Theft Auto: San Andreas,20.81,PS2
Grand Theft Auto: Vice City,16.15,PS2
Gran Turismo 3: A-Spec,14.98,PS2
Grand Theft Auto III,13.1,PS2
Gran Turismo 4,11.66,PS2
Final Fantasy X,8.05,PS2
Grand Theft Auto V,21.04,PS3
Call of Duty: Black Ops II,13.79,PS3
Call of Duty: Modern Warfare 3,13.32,PS3
Call of Duty: Black Ops,12.63,PS3
Gran Turismo 5,10.7,PS3
Call of Duty: Modern Warfare 2,10.6,PS3
Grand Theft Auto V,12.61,PS4
FIFA 16,8.57,PS4
Call of Duty: Advanced Warfare,7.66,PS4
FIFA 17,7.59,PS4
Fallout 4,7.16,PS4
FIFA 15,6.08,PS4
Grand Theft Auto: Liberty City Stories,7.69,PSP
Monster Hunter Freedom Unite,5.48,PSP
Grand Theft Auto: Vice City Stories,5.03,PSP
Daxter,4.21,PSP
Midnight Club 3: DUB Edition,3.65,PSP
God of War: Chains of Olympus,3.18,PSP
Uncharted: Golden Abyss,1.53,PSV
Call of Duty Black Ops: Declassified,1.47,PSV
Assassin's Creed III: Liberation,1.32,PSV
LittleBigPlanet PS Vita,1.25,PSV
Persona 4: Golden,1.12,PSV
Killzone: Mercenary,0.8,PSV
Wii Sports,82.53,Wii
Mario Kart Wii,35.52,Wii
Wii Sports Resort,32.77,Wii
Wii Play,28.92,Wii
New Super Mario Bros. Wii,28.32,Wii
Wii Fit,22.7,Wii
Mario Kart 8,7.09,WiiU
New Super Mario Bros. U,5.22,WiiU
Splatoon,4.43,WiiU
Nintendo Land,4.42,WiiU
Super Mario 3D World,4.32,WiiU
Super Mario Maker,3.21,WiiU
Kinect Adventures!,21.81,X360
Grand Theft Auto V,16.27,X360
Call of Duty: Modern Warfare 3,14.73,X360
Call of Duty: Black Ops,14.61,X360
Call of Duty: Black Ops II,13.67,X360
Call of Duty: Modern Warfare 2,13.47,X360
Halo 2,8.49,XB
Halo: Combat Evolved,6.43,XB
Tom Clancy's Splinter Cell,3.02,XB
The Elder Scrolls III: Morrowind,2.86,XB
Fable,2.66,XB
Need for Speed Underground 2,2.28,XB
Grand Theft Auto V,5.48,XOne
Call of Duty: Advanced Warfare,5.27,XOne
Halo 5: Guardians,4.48,XOne
Fallout 4,4.22,XOne
Assassin's Creed: Unity,3.5,XOne
Destiny,3.37,XOne
