Name,User_Score,Critic_Score,Normalized_User_Score,Normalized_Critic_Score
Wii Sports,8.0,76.0,0.8241758241758242,0.7411764705882353
Mario Kart Wii,8.3,82.0,0.8571428571428572,0.8117647058823529
Wii Sports Resort,8.0,80.0,0.8241758241758242,0.788235294117647
New Super Mario Bros.,8.5,89.0,0.8791208791208791,0.8941176470588236
Wii Play,6.6,58.0,0.6703296703296703,0.5294117647058824
New Super Mario Bros. Wii,8.4,87.0,0.8681318681318682,0.8705882352941177
Mario Kart DS,8.6,91.0,0.8901098901098901,0.9176470588235294
Wii Fit,7.7,80.0,0.7912087912087913,0.788235294117647
Kinect Adventures!,6.3,61.0,0.6373626373626373,0.5647058823529412
Wii Fit Plus,7.4,80.0,0.7582417582417583,0.788235294117647
Grand Theft Auto V,8.2,97.0,0.8461538461538461,0.9882352941176471
Grand Theft Auto: San Andreas,9.0,95.0,0.9340659340659341,0.9647058823529412
Brain Age: Train Your Brain in Minutes a Day,7.9,77.0,0.8131868131868133,0.7529411764705882
Grand Theft Auto V,8.1,97.0,0.8351648351648352,0.9882352941176471
Grand Theft Auto: Vice City,8.7,95.0,0.901098901098901,0.9647058823529412
Brain Age 2: More Training in Minutes a Day,7.1,77.0,0.7252747252747253,0.7529411764705882
Gran Turismo 3: A-Spec,8.4,95.0,0.8681318681318682,0.9647058823529412
Call of Duty: Modern Warfare 3,3.4,88.0,0.31868131868131866,0.8823529411764706
Call of Duty: Black Ops,6.3,87.0,0.6373626373626373,0.8705882352941177
Call of Duty: Black Ops II,5.3,83.0,0.5274725274725275,0.8235294117647058
Call of Duty: Black Ops II,4.8,83.0,0.4725274725274725,0.8235294117647058
Call of Duty: Modern Warfare 2,6.3,94.0,0.6373626373626373,0.9529411764705882
Call of Duty: Modern Warfare 3,3.2,88.0,0.29670329670329676,0.8823529411764706
Grand Theft Auto III,8.5,97.0,0.8791208791208791,0.9882352941176471
Super Smash Bros. Brawl,8.9,93.0,0.9230769230769231,0.9411764705882353
Mario Kart 7,8.2,85.0,0.8461538461538461,0.8470588235294118
Call of Duty: Black Ops,6.4,88.0,0.6483516483516484,0.8823529411764706
Grand Theft Auto V,8.3,97.0,0.8571428571428572,0.9882352941176471
Animal Crossing: Wild World,8.7,86.0,0.901098901098901,0.8588235294117647
Halo 3,7.8,94.0,0.8021978021978022,0.9529411764705882
Gran Turismo 4,8.5,89.0,0.8791208791208791,0.8941176470588236
Super Mario Galaxy,8.9,97.0,0.9230769230769231,0.9882352941176471
Grand Theft Auto IV,7.9,98.0,0.8131868131868133,1.0
Gran Turismo,8.7,96.0,0.901098901098901,0.9764705882352941
Super Mario 3D Land,8.4,90.0,0.8681318681318682,0.9058823529411765
Gran Turismo 5,7.5,84.0,0.7692307692307693,0.8352941176470589
Call of Duty: Modern Warfare 2,6.3,94.0,0.6373626373626373,0.9529411764705882
