,release_year,genre
0,2016,Action
1,2017,"Action,Adventure,Massively Multiplayer"
2,2018,"Action,Adventure,Strategy"
3,2018,"Action,Adventure,Massively Multiplayer"
4,2003,"Action,Free to Play,Massively Multiplayer,RPG,Strategy"
5,nan,"Action,Adventure"
6,2019,Action
7,2016,"Adventure,Indie"
8,2017,"Strategy,Early Access"
9,2019,"Action,Adventure,RPG"
10,2018,"Adventure,Indie,RPG,Strategy"
11,2017,Adventure
12,2015,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
13,2017,Action
14,2018,"Indie,Simulation,Strategy"
15,nan,"Simulation,Strategy"
16,2017,"Action,Indie,Early Access"
17,2019,Action
18,2018,"Action,Free to Play"
19,2017,Strategy
20,2010,Action
21,2019,Adventure
22,2019,Racing
23,2016,"Action,RPG"
24,2008,"Action,Adventure"
25,nan,"Action,Adventure"
26,2007,Action
27,2015,"Indie,Simulation"
28,2018,RPG
29,2018,"Adventure,RPG"
30,2016,"Free to Play,Massively Multiplayer,RPG"
31,2017,"Action,Adventure,Indie"
32,2016,Adventure
33,2018,"Action,Adventure,RPG"
34,2017,"Indie,Simulation,Strategy"
35,2005,Action
36,2008,"Free to Play,Massively Multiplayer,RPG"
37,2018,Adventure
38,2012,"Action,RPG"
39,nan,Action
40,2011,Strategy
41,2019,"Adventure,RPG,Simulation"
42,2004,Action
43,2014,Action
44,nan,"Action,Adventure,Indie"
45,2019,"Action,Adventure,Indie,Early Access"
46,2006,Strategy
47,2017,Action
48,2016,Action
49,2015,"Casual,Indie,Strategy"
50,2019,"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access"
51,2019,Strategy
52,2015,"Action,Indie"
53,2008,"Action,RPG"
54,2017,"Action,Adventure,RPG"
55,2017,"Action,Strategy"
56,2012,"Free to Play,Massively Multiplayer,RPG"
57,nan,"Simulation,Strategy"
58,2019,"Action,Adventure,Indie,Early Access"
59,2010,"Action,Adventure"
60,2015,RPG
61,2018,"Adventure,Indie,RPG,Simulation"
62,2017,Free to Play
63,nan,Action
64,2018,"Indie,Simulation,Strategy"
65,2018,"Action,Free to Play,Early Access"
66,nan,Strategy
67,2017,"Action,Adventure,Casual,Indie"
68,nan,"Simulation,Strategy"
69,2006,Strategy
70,2019,RPG
71,2016,RPG
72,2018,"Adventure,Indie"
73,2012,"Action,Adventure,Casual,Indie,RPG"
74,nan,RPG
75,2017,Action
76,2017,Simulation
77,2015,Indie
78,2008,Simulation
79,2019,Action
80,2015,"Free to Play,Massively Multiplayer,Simulation,Sports"
81,nan,"Action,Adventure"
82,2015,"Action,Adventure"
83,2013,Action
84,2014,"Action,Simulation,Strategy"
85,2012,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"
86,nan,"Action,Indie,RPG"
87,2019,Action
88,2019,"Action,Adventure,Indie,Early Access"
89,2018,"Action,Free to Play,Massively Multiplayer,Early Access"
90,2019,"Action,Adventure,RPG"
91,2015,"Action,Adventure"
92,2017,"Action,Sports"
93,2017,"Casual,Indie,Simulation,Sports,Early Access"
94,2016,"Indie,Strategy"
95,2016,"Action,Free to Play,Indie,Massively Multiplayer,Strategy"
96,1995,Action
97,2017,"Action,Indie,Early Access"
98,2018,Action
99,2014,"Indie,RPG,Strategy"
100,2016,"Action,Adventure,Casual,Massively Multiplayer"
101,2018,"Simulation,Strategy"
102,nan,"Simulation,Strategy"
103,2015,"Casual,Indie,Simulation,Early Access"
104,2016,"Free to Play,Strategy"
105,nan,"Adventure,RPG,Action,Strategy"
106,nan,"Simulation,Strategy"
107,2014,RPG
108,2013,"RPG,Strategy"
109,2015,"Action,Casual,Free to Play,Massively Multiplayer,Sports"
110,2019,"Indie,Simulation"
111,2017,"Indie,RPG,Strategy"
112,2017,"Action,RPG"
113,2018,"Action,Strategy"
114,nan,"Indie,Racing,Simulation,Sports"
115,2018,"Indie,Simulation"
116,2019,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access"
117,2015,"Action,Casual,Indie,Massively Multiplayer,Strategy,Early Access"
118,2014,"RPG,Strategy"
119,nan,"Simulation,Strategy"
120,2019,"Action,Adventure,Casual,Indie,Sports"
121,2019,"Racing,Simulation,Sports"
122,2018,Action
123,2014,"Action,Free to Play,Massively Multiplayer"
124,2017,"Action,Adventure,RPG"
125,2017,"Adventure,Casual,Indie,Simulation,Early Access"
126,2015,"Adventure,Indie,Simulation,Strategy,Early Access"
127,2018,"Simulation,Sports"
128,2016,"Action,Adventure,RPG"
129,2018,Strategy
130,2016,"Action,Adventure,Indie,Simulation,Early Access"
131,2019,"Action,Adventure"
132,2015,Strategy
133,nan,"Action,Early Access"
134,2015,"Indie,Simulation,Strategy"
135,nan,"Action,RPG,Violent,Gore"
136,2018,"Indie,Simulation,Early Access"
137,2018,"Action,Adventure,Indie,Simulation"
138,2018,Strategy
139,2018,"Action,Indie"
140,2015,Action
141,2018,"Action,Adventure,Indie"
142,2018,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation"
143,2017,"Casual,Indie,Strategy"
144,2016,Action
145,nan,"Simulation,Strategy"
146,2015,Valve
147,2018,"Indie,Simulation"
148,2018,"Indie,Simulation,Strategy,Early Access"
149,2017,"Action,Adventure"
150,2015,"Adventure,Indie,RPG,Strategy"
151,2015,"Simulation,Strategy,Early Access"
152,2011,Action
153,2018,"Action,Adventure,Indie,Massively Multiplayer,Early Access"
154,2019,"Adventure,Indie"
155,2016,Simulation
156,2016,"Action,Adventure"
157,2014,"Indie,RPG,Strategy"
158,2015,"Free to Play,Massively Multiplayer,Strategy"
159,2019,"Indie,Simulation,Strategy,Early Access"
160,2018,"Action,Adventure"
161,2016,"Casual,Indie,Sports,Early Access"
162,2011,RPG
163,nan,"Action,Adventure,Indie,Massively Multiplayer,RPG"
164,2007,RPG
165,2013,Strategy
166,2012,"Action,Free to Play,Massively Multiplayer"
167,2016,"Casual,Simulation"
168,2019,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Strategy"
169,nan,"Adventure,Simulation,Sports"
170,2019,"Action,Simulation"
171,2019,"Action,Adventure,Simulation"
172,nan,"Action,RPG,Violent"
173,2013,"RPG,Strategy"
174,2018,"Indie,Simulation,Sports,Strategy"
175,2018,"Action,Adventure"
176,2018,"Action,Casual,Indie"
177,2017,"Action,Adventure,Free to Play,Indie,Strategy,Early Access"
178,2015,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access"
179,2015,"Massively Multiplayer,Racing,Simulation,Sports"
180,2019,"Indie,Strategy"
181,2016,"Action,Indie,Simulation,Early Access"
182,2016,"Casual,Free to Play,Indie"
183,2012,Action
184,2015,"Indie,RPG"
185,2017,"Action,Adventure"
186,2017,Racing
187,2011,Strategy
188,2013,RPG
189,2012,"Indie,Simulation"
190,2017,Strategy
191,nan,"Action,Massively Multiplayer"
192,nan,Indie
193,2017,"Action,Casual,Indie"
194,2019,"Indie,RPG,Strategy"
195,2019,"Indie,Simulation,Sports,Strategy"
196,2019,"Action,Adventure,Casual,Indie,Strategy"
197,2012,"Action,Adventure"
198,2014,"Indie,Racing,Simulation,Sports"
199,2019,"Action,Indie"
200,2015,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG"
201,2019,"Adventure,Casual,Indie,RPG,Simulation"
202,2017,RPG
203,2016,"Action,Adventure,Indie"
204,nan,"Action,Indie,RPG"
205,2016,"Action,Adventure,Indie"
206,2014,"Simulation,Strategy"
207,2018,"Simulation,Sports"
208,2018,RPG
209,2017,"Indie,Simulation"
210,2019,"Action,Adventure,Indie"
211,2009,
212,2009,Simulation
213,nan,"Adventure,Indie,Early Access"
214,2018,"Action,Indie"
215,2008,Action
216,nan,Action
